,Country,Year,fertility,life,population,child_mortality,gdp,region,CountryCode
1265,Bulgaria,1995,1.344,70.95,8356624.0,23.2,8479.0,Europe & Central Asia,BGR
1315,Burkina Faso,1995,6.8439999999999985,49.449,10692138.0,199.4,869.0,Sub-Saharan Africa,BFA
1365,Burundi,1995,7.318,46.654,6086751.0,170.5,835.0,Sub-Saharan Africa,BDI
1415,Cambodia,1995,4.62,57.89,11169233.0,121.5,1091.0,East Asia & Pacific,KHM
1465,Cameroon,1995,5.989,53.246,13940337.0,150.0,2188.0,Sub-Saharan Africa,CMR
1515,Canada,1995,1.67,78.13,29302092.0,6.9,32101.0,America,CAN
1565,Cape Verde,1995,4.55,67.712,394946.0,56.6,2361.0,Sub-Saharan Africa,Unknown code
1615,Chad,1995,7.425,46.455,6998108.0,202.7,1044.0,Sub-Saharan Africa,TCD
1665,Chile,1995,2.388,75.04,14409416.0,13.1,12759.0,America,CHL
1715,China,1995,1.746,70.295,1213986610.0,47.5,2551.0,East Asia & Pacific,CHN
1765,Colombia,1995,2.872,69.433,36453337.0,30.0,8643.0,America,COL
1815,Comoros,1995,5.246,56.729,494486.0,107.8,1467.0,Sub-Saharan Africa,COM
1865,Congo- Dem. Rep.,1995,7.267,46.478,44067369.0,176.4,724.0,Sub-Saharan Africa,Unknown code
1915,Congo- Rep.,1995,5.154,52.973,2732706.0,107.7,4715.0,Sub-Saharan Africa,Unknown code
1965,Costa Rica,1995,2.758,76.744,3468918.0,15.2,8495.0,America,CRI
2015,Cote d'Ivoire,1995,5.81,49.534,14677200.0,148.9,2964.0,Sub-Saharan Africa,Unknown code
2065,Croatia,1995,1.517,73.72399999999998,4669001.0,10.0,12543.0,Europe & Central Asia,HRV
2115,Cuba,1995,1.614,75.419,10900795.0,10.8,9195.0,America,CUB
2165,Cyprus,1995,2.124,77.312,855424.0,9.0,26445.0,Europe & Central Asia,CYP
2215,Denmark,1995,1.807,75.36,5233364.0,6.5,36670.0,Europe & Central Asia,DNK
2265,Djibouti,1995,5.352,57.066,626537.0,110.2,2315.0,Middle East & North Africa,DJI
2315,Ecuador,1995,3.335,71.226,11384506.0,43.9,7811.0,America,ECU
2365,Egypt,1995,3.659,66.806,62063810.0,64.6,6553.0,Middle East & North Africa,EGY
2415,El Salvador,1995,3.529,68.893,5733401.0,44.5,5589.0,America,SLV
2465,Equatorial Guinea,1995,5.897,47.58600000000001,442527.0,171.2,1803.0,Sub-Saharan Africa,GNQ
2515,Eritrea,1995,6.2929999999999975,52.463,3212503.0,117.3,1438.0,Sub-Saharan Africa,ERI
2565,Estonia,1995,1.432,67.72,1440710.0,15.8,10464.0,Europe & Central Asia,EST
2615,Ethiopia,1995,6.995,49.257,57042197.0,175.0,578.0,Sub-Saharan Africa,ETH
2665,Fiji,1995,3.276,66.575,775651.0,26.2,6073.0,East Asia & Pacific,FJI
2715,Finland,1995,1.81,76.66,5107802.0,5.2,27303.0,Europe & Central Asia,FIN
2765,France,1995,1.723,78.06,57844501.0,6.5,30823.0,Europe & Central Asia,FRA
2815,Gabon,1995,4.987,61.159,1087327.0,87.8,19738.0,Sub-Saharan Africa,GAB
2865,Gambia,1995,6.039,53.487,1126183.0,142.4,1448.0,Sub-Saharan Africa,GMB
2915,Georgia,1995,1.879,70.455,5069269.0,44.3,2298.0,Europe & Central Asia,GEO
2965,Germany,1995,1.3130000000000002,76.6081892256,81929441.0,6.5,33843.0,Europe & Central Asia,DEU
3015,Ghana,1995,5.058,57.507,16996901.0,113.4,2066.0,Sub-Saharan Africa,GHA
3065,Greece,1995,1.32,77.76,10671809.0,10.1,21426.0,Europe & Central Asia,GRC
3115,Grenada,1995,3.116,69.403,100163.0,18.5,7522.0,America,GRD
3165,Guatemala,1995,5.237,64.908,10015675.0,63.3,5836.0,America,GTM
3215,Guinea,1995,6.308,51.72,7565235.0,205.9,1049.0,Sub-Saharan Africa,GIN
3265,Guinea-Bissau,1995,6.311,50.582,1125392.0,205.5,1632.0,Sub-Saharan Africa,GNB
3315,Guyana,1995,2.4930000000000003,62.7,727979.0,52.7,4533.0,America,GUY
3365,Haiti,1995,4.8889999999999985,56.13,7877569.0,124.9,1672.0,America,HTI
3415,Honduras,1995,4.617,68.85600000000001,5575099.0,46.4,3344.0,America,HND
3449,Hong Kong- China,1995,1.039,78.72399999999998,6144316.0,5.92,32358.0,East Asia & Pacific,Unknown code
3499,Hungary,1995,1.557,70.08,10331403.0,13.8,15095.0,Europe & Central Asia,HUN
3549,Iceland,1995,2.132,78.04,267478.0,5.2,27671.0,Europe & Central Asia,ISL
3599,India,1995,3.4730000000000003,60.163,964486155.0,108.7,2069.0,South Asia,IND
3649,Indonesia,1995,2.6910000000000003,65.493,199400339.0,66.7,6111.0,East Asia & Pacific,IDN
3699,Iran,1995,3.204,67.815,59757114.0,45.3,10477.0,Middle East & North Africa,Unknown code
3749,Iraq,1995,5.4170000000000025,70.955,20288226.0,49.1,6353.0,Middle East & North Africa,IRQ
3799,Ireland,1995,1.898,75.58,3610958.0,7.3,27439.0,Europe & Central Asia,IRL
3849,Israel,1995,2.924,77.62,5332079.0,8.7,22550.0,Middle East & North Africa,ISR
3899,Italy,1995,1.24,78.19,56968039.0,7.5,32731.0,Europe & Central Asia,ITA
3949,Jamaica,1995,2.744,70.315,2461516.0,26.0,8644.0,America,JAM
3999,Japan,1995,1.413,79.76,124486744.0,5.7,31224.0,East Asia & Pacific,JPN
4049,Jordan,1995,4.677,70.883,4382005.0,31.5,7516.0,Middle East & North Africa,JOR
4099,Kazakhstan,1995,2.238,63.942,15925853.0,52.7,8079.0,Europe & Central Asia,KAZ
4149,Kenya,1995,5.251,55.969,27425720.0,106.9,2199.0,Sub-Saharan Africa,KEN
4199,Kiribati,1995,4.412,62.597,77248.0,81.6,1434.0,East Asia & Pacific,KIR
4249,Kuwait,1995,2.467,72.695,1627911.0,14.7,82268.0,Middle East & North Africa,KWT
4299,Latvia,1995,1.357,66.01,2492095.0,23.7,8110.0,Europe & Central Asia,LVA
4349,Lebanon,1995,2.617,72.07,3462974.0,25.8,12254.0,Middle East & North Africa,LBN
4399,Lesotho,1995,4.548,56.958,1794531.0,89.6,1466.0,Sub-Saharan Africa,LSO
4449,Liberia,1995,6.1560000000000015,50.163,2094591.0,237.4,142.0,Sub-Saharan Africa,LBR
4499,Libya,1995,3.732,70.19,4775009.0,33.1,23363.0,Middle East & North Africa,LBY
4549,Lithuania,1995,1.64,69.02,3629104.0,16.6,10115.0,Europe & Central Asia,LTU
4599,Luxembourg,1995,1.711,76.47,407522.0,6.4,64568.0,Europe & Central Asia,LUX
4633,Macao- China,1995,1.242,76.56,398426.0,12.46,44465.0,East Asia & Pacific,Unknown code
4683,Macedonia- FYR,1995,1.989,72.077,1963484.0,24.6,7700.0,Europe & Central Asia,Unknown code
4733,Madagascar,1995,5.999,54.61600000000001,13129227.0,138.4,1402.0,Sub-Saharan Africa,MDG
4783,Malawi,1995,6.483,46.67100000000001,9883350.0,201.9,593.0,Sub-Saharan Africa,MWI
4833,Malaysia,1995,3.339,71.836,20720810.0,13.3,14035.0,East Asia & Pacific,MYS
4883,Maldives,1995,4.56,64.656,248712.0,70.8,5264.0,South Asia,MDV
4933,Mali,1995,6.947,47.665,9824510.0,240.0,1126.0,Sub-Saharan Africa,MLI
4983,Malta,1995,1.93,76.35300000000002,386576.0,9.5,20720.0,Europe & Central Asia,MLT
5033,Mauritania,1995,5.6960000000000015,59.245,2292053.0,113.8,2838.0,Sub-Saharan Africa,MRT
5083,Mauritius,1995,2.144,70.339,1137098.0,22.2,9062.0,Sub-Saharan Africa,MUS
5133,Mexico,1995,2.966,72.818,92272749.0,35.0,12491.0,America,MEX
5183,Micronesia- Fed. Sts.,1995,4.664,66.77600000000001,107233.0,55.6,3185.0,East Asia & Pacific,Unknown code
5233,Moldova,1995,1.882,66.867,4338750.0,38.2,2596.0,Europe & Central Asia,Unknown code
5283,Mongolia,1995,2.738,61.213,2306131.0,84.6,4244.0,East Asia & Pacific,MNG
5333,Montenegro,1995,1.815,74.985,643227.0,15.1,7635.0,Europe & Central Asia,MNE
5383,Morocco,1995,3.31,66.972,26928600.0,63.3,3870.0,Middle East & North Africa,MAR
5433,Mozambique,1995,5.976,45.88399999999999,15933452.0,211.4,465.0,Sub-Saharan Africa,MOZ
5483,Myanmar,1995,2.8510000000000004,60.471,42133199.0,95.4,1868.0,East Asia & Pacific,MMR
5533,Namibia,1995,4.59,60.162,1651352.0,65.2,5900.0,Sub-Saharan Africa,NAM
5583,Nepal,1995,4.711,58.828,21594872.0,107.7,1405.0,South Asia,NPL
5633,Netherlands,1995,1.53,77.64,15422165.0,6.9,35244.0,Europe & Central Asia,NLD
5683,New Zealand,1995,2.11318,76.94,3675060.0,8.7,25476.0,East Asia & Pacific,NZL
5733,Nicaragua,1995,4.055,67.37100000000001,4637040.0,52.7,2934.0,America,NIC
5783,Niger,1995,7.773,47.14,9178575.0,279.5,811.0,Sub-Saharan Africa,NER
5833,Nigeria,1995,6.261,46.119,110014688.0,207.8,2740.0,Sub-Saharan Africa,NGA
5883,Norway,1995,1.87,77.89,4359096.0,5.7,50616.0,Europe & Central Asia,NOR
5933,Oman,1995,5.346,69.751,2232018.0,24.5,39194.0,Middle East & North Africa,OMN
5983,Pakistan,1995,5.359,62.51600000000001,127346713.0,125.7,3255.0,South Asia,PAK
6033,Panama,1995,2.901,74.096,2676926.0,28.1,8795.0,America,PAN
6083,Papua New Guinea,1995,4.671,57.249,4715617.0,83.0,2139.0,East Asia & Pacific,PNG
6133,Paraguay,1995,4.09,68.91199999999999,4795365.0,39.2,6582.0,America,PRY
6183,Peru,1995,3.317,68.02,23827163.0,57.5,6198.0,America,PER
6233,Philippines,1995,4.006,66.008,69255386.0,45.6,3973.0,East Asia & Pacific,PHL
6283,Poland,1995,1.68,72.05,38391778.0,14.5,11093.0,Europe & Central Asia,POL
6333,Portugal,1995,1.483,75.58,10124943.0,9.7,21975.0,Europe & Central Asia,PRT
6367,Puerto Rico,1995,2.088,74.165,3701618.0,13.39,28629.0,America,PRI
6417,Qatar,1995,3.59,76.013,501371.0,15.3,77809.0,Middle East & North Africa,QAT
6467,Romania,1995,1.354,69.518,22680954.0,32.3,10516.0,Europe & Central Asia,ROU
6517,Russia,1995,1.338,64.62,148698582.0,26.4,12013.0,Europe & Central Asia,Unknown code
6567,Rwanda,1995,6.307,40.0,5570206.0,261.5,695.0,Sub-Saharan Africa,RWA
6617,Samoa,1995,4.751,67.391,168257.0,25.9,3686.0,East Asia & Pacific,WSM
6667,Sao Tome and Principe,1995,4.956,62.605,127935.0,106.5,2197.0,Sub-Saharan Africa,STP
6717,Saudi Arabia,1995,4.989,70.757,18491845.0,29.7,35870.0,Middle East & North Africa,SAU
6767,Senegal,1995,6.0539999999999985,57.405,8369125.0,142.1,1774.0,Sub-Saharan Africa,SEN
6817,Serbia,1995,1.846,71.836,10203932.0,19.7,7167.0,Europe & Central Asia,SRB
6867,Seychelles,1995,2.345,70.893,74755.0,14.5,15097.0,Sub-Saharan Africa,SYC
6917,Sierra Leone,1995,6.204,35.825,3898363.0,257.5,1041.0,Sub-Saharan Africa,SLE
6967,Singapore,1995,1.67,77.358,3481674.0,5.2,44884.0,East Asia & Pacific,SGP
7017,Slovak Republic,1995,1.631,72.29,5368894.0,14.4,12879.0,Europe & Central Asia,Unknown code
7067,Slovenia,1995,1.286,74.67,1966205.0,7.4,18240.0,Europe & Central Asia,SVN
7117,Solomon Islands,1995,5.197,59.667,356404.0,35.4,2284.0,East Asia & Pacific,SLB
7167,Somalia,1995,7.655,47.179,6524697.0,174.4,637.0,Sub-Saharan Africa,SOM
7217,South Africa,1995,3.11,61.371,41402400.0,62.6,9730.0,Sub-Saharan Africa,ZAF
7267,South Sudan,1995,6.502999999999999,46.861,6166715.0,223.5,2132.0,Sub-Saharan Africa,SSD
7317,Spain,1995,1.213,78.12,39426834.0,8.3,25645.0,Europe & Central Asia,ESP
7367,Sri Lanka,1995,2.291,69.333,18229498.0,20.2,4075.0,South Asia,LKA
7417,Sudan,1995,5.8210000000000015,56.539,23974432.0,118.2,1934.0,Sub-Saharan Africa,SDN
7467,Suriname,1995,2.682,67.72,435920.0,40.9,9848.0,America,SUR
7517,Swaziland,1995,4.8660000000000005,56.469,963591.0,81.1,5043.0,Sub-Saharan Africa,Unknown code
7567,Sweden,1995,1.731,78.94,8826949.0,4.8,31044.0,Europe & Central Asia,SWE
7617,Switzerland,1995,1.515,78.68,7018702.0,6.4,44738.0,Europe & Central Asia,CHE
7667,Syria,1995,4.495,71.904,14171130.0,29.5,4894.0,Middle East & North Africa,Unknown code
7717,Tajikistan,1995,4.587,62.307,5775404.0,119.8,1266.0,Europe & Central Asia,TJK
7767,Tanzania,1995,5.882999999999999,49.207,29943732.0,154.2,1369.0,Sub-Saharan Africa,Unknown code
7817,Thailand,1995,1.867,70.525,59650157.0,28.3,9239.0,East Asia & Pacific,THA
7867,Timor-Leste,1995,6.384,53.66,852817.0,140.4,1477.0,East Asia & Pacific,TLS
7917,Togo,1995,5.725,54.76300000000001,4085492.0,135.4,1198.0,Sub-Saharan Africa,TGO
7967,Tonga,1995,4.447,70.164,95907.0,18.9,4269.0,East Asia & Pacific,TON
8017,Trinidad and Tobago,1995,1.961,68.344,1261443.0,29.0,14046.0,America,TTO
8067,Tunisia,1995,2.676,71.48100000000002,8935523.0,44.9,6055.0,Middle East & North Africa,TUN
8117,Turkey,1995,2.715,66.967,58864649.0,55.2,11530.0,Europe & Central Asia,TUR
8167,Turkmenistan,1995,3.512,63.074,4188010.0,89.4,4623.0,Europe & Central Asia,TKM
8217,Uganda,1995,7.018,45.983,20831075.0,159.5,910.0,Sub-Saharan Africa,UGA
8267,Ukraine,1995,1.41,66.79,51121722.0,20.5,5073.0,Europe & Central Asia,UKR
8317,United Arab Emirates,1995,3.393,72.89,2348539.0,13.0,106425.0,Middle East & North Africa,ARE
8367,United Kingdom,1995,1.756,76.78,57997210.0,7.2,28317.0,Europe & Central Asia,GBR
8417,United States,1995,1.982,75.8,266323717.0,9.5,39476.0,America,USA
8467,Uruguay,1995,2.398,73.61399999999998,3223401.0,20.6,11513.0,America,URY
8517,Uzbekistan,1995,3.463,66.408,22919357.0,69.5,2213.0,Europe & Central Asia,UZB
8567,Vanuatu,1995,4.73,65.345,168263.0,30.4,2610.0,East Asia & Pacific,VUT
8617,Venezuela,1995,3.082,71.851,22034909.0,26.3,15390.0,America,Unknown code
8667,Vietnam,1995,2.676,72.28399999999998,74008073.0,41.2,2042.0,East Asia & Pacific,Unknown code
8717,West Bank and Gaza,1995,6.274,69.695,2596289.0,35.7,2788.0,Middle East & North Africa,Unknown code
8767,Zambia,1995,6.209,40.967,8919456.0,174.7,2106.0,Sub-Saharan Africa,ZMB
8817,Zimbabwe,1995,4.432,51.378,11684693.0,82.0,2416.0,Sub-Saharan Africa,ZWE
